Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Percentage,Cost Price,Year Month
CA-2016-152156,2016-11-08,11/11/2016,Standard Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,230.86443466370207,2.0,0.0,41.9136,18.155070122019932,188.95083466370207,2016-11
CA-2017-100111,2016-11-08,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,California,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.0,0.0,219.582,30.0,512.3580000000001,2016-11
CA-2017-100111,2016-06-12,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,0.0,6.8714,47.0,7.748599999999999,2016-06
US-2015-108966,2015-10-11,10/18/2015,Standard Class,WB-21850,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-PA-10001970,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5.0,0.15568982768204562,-383.031,-40.0,1340.6085,2015-10
US-2015-108966,2015-10-11,10/18/2015,Standard Class,SO-20335,William Brown,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.0,0.2,2.5164,11.25,19.851599999999998,2015-10
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,0.0,14.1694,28.999999999999996,34.6906,2014-06
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,0.0,1.9656,27.0,5.3144,2014-06
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,Binders,Staple envelope,907.152,6.0,0.2,90.7152,10.0,816.4368000000001,2014-06
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3.0,0.2,5.7825,31.249999999999993,12.721500000000002,2014-06
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,0.0,34.47,30.0,80.43,2014-06
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,WB-21850,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9.0,0.2,85.3092,5.0,1620.8748,2014-06
CA-2014-115812,2014-06-09,12/16/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,55147.14341300722,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4.0,0.2,68.3568,7.500000000000001,843.0672,2014-06
CA-2017-114412,2017-04-15,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Binders,Xerox 1967,15.552,3.0,0.2,5.4432,35.0,10.108799999999999,2017-04
CA-2016-161389,2016-12-05,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3.0,0.2,132.5922,32.49999999999999,275.3838,2016-12
US-2015-118983,2015-11-22,11/26/2015,Standard Class,WB-21850,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-PA-10001970,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",230.86443466370207,3.7907726514730404,0.8,-123.858,-53.64966681872101,354.7224346637021,2015-11
US-2015-118983,2015-11-22,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,55147.14341300722,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3.0,0.8,-3.816,-150.0,6.359999999999999,2015-11
CA-2014-105893,2014-11-11,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,55147.14341300722,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",230.86443466370207,6.0,0.0,13.3176,5.768580171042636,217.54683466370207,2014-11
CA-2014-167164,2014-05-13,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2.0,0.0,9.99,18.0,45.51,2014-05
CA-2014-143336,2014-08-27,9/1/2014,Second Class,ZD-21925,William Brown,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,0.15568982768204562,2.4824,28.999999999999996,6.0776,2014-08
CA-2014-143336,2014-08-27,12/16/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,New York City,California,94109.0,West,TEC-PH-10001949,Technology,Phones,Staple envelope,213.48,3.0,0.2,16.011,7.5,197.469,2014-08
CA-2014-143336,2014-08-27,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,New York City,California,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,3.7907726514730404,0.15568982768204562,7.384,32.5,15.335999999999999,2014-08
CA-2016-137330,2016-12-09,12/13/2016,Standard Class,KB-16585,Ken Black,Consumer,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,0.0,5.0596,25.999999999999996,14.400400000000001,2016-12
CA-2016-137330,2016-12-09,12/13/2016,Standard Class,WB-21850,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,West,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,15.6884,25.999999999999996,44.6516,2016-12
US-2017-156909,2017-07-16,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,New York City,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2.0,0.3,-1.0196,-1.4285714285714286,72.3916,2017-07
CA-2015-106320,2015-09-25,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.0,0.0,240.2649,23.0,804.3651000000001,2015-09
